epoch;cer;loss;masked_accuracy;val_cer;val_loss;val_masked_accuracy
0;0.16026589274406433;3.9392125606536865;0.4884466826915741;0.16002428531646729;0.6567278504371643;0.8616899847984314
1;0.16026565432548523;0.5392255187034607;0.8817411065101624;0.16006498038768768;0.31756746768951416;0.9260188937187195
2;0.1602657437324524;0.3382541537284851;0.9210858345031738;0.16004034876823425;0.2605782747268677;0.9388468265533447
3;0.16026559472084045;0.2703652083873749;0.9354172348976135;0.16003358364105225;0.2369707226753235;0.9445934295654297
4;0.1602657288312912;0.23342828452587128;0.9434490203857422;0.16002613306045532;0.21859359741210938;0.9486433863639832
5;0.16026584804058075;0.2091338038444519;0.9487623572349548;0.16002605855464935;0.20989540219306946;0.9507204294204712
6;0.1602659523487091;0.19195051491260529;0.9525982141494751;0.16001689434051514;0.20360210537910461;0.9519869685173035
7;0.1602656990289688;0.17866383492946625;0.9555935859680176;0.1600518673658371;0.20009857416152954;0.9533920288085938
8;0.16026571393013;0.16787584125995636;0.9580700397491455;0.16004589200019836;0.19695213437080383;0.9541290998458862
9;0.1602659821510315;0.15906701982021332;0.960033655166626;0.16003112494945526;0.1945931613445282;0.9549022316932678
10;0.16026565432548523;0.1518617868423462;0.961702287197113;0.16001586616039276;0.19314603507518768;0.9553472995758057
11;0.1602657437324524;0.14530566334724426;0.9632216095924377;0.16002704203128815;0.19224239885807037;0.9554598331451416
12;0.16026556491851807;0.13978147506713867;0.9644810557365417;0.16004125773906708;0.19081635773181915;0.9562321305274963
13;0.16026590764522552;0.13492654263973236;0.9655652642250061;0.16003018617630005;0.1897071897983551;0.9567348957061768
14;0.16026568412780762;0.13052624464035034;0.9666145443916321;0.16006045043468475;0.19103047251701355;0.9566271305084229
15;0.16026568412780762;0.12656858563423157;0.9675641655921936;0.1600542962551117;0.19022628664970398;0.957020103931427
16;0.16026580333709717;0.12313178181648254;0.968378484249115;0.16001053154468536;0.18963217735290527;0.957079291343689
17;0.16026563942432404;0.11988554149866104;0.9691238403320312;0.16003519296646118;0.18876872956752777;0.9572859406471252
18;0.16026571393013;0.11687590181827545;0.9698293209075928;0.16001299023628235;0.18882177770137787;0.957616925239563
19;0.1602657586336136;0.11424346268177032;0.9704435467720032;0.16004058718681335;0.18853335082530975;0.957641065120697
