epoch;cer;loss;masked_accuracy;val_cer;val_loss;val_masked_accuracy
0;0.1602879762649536;5.809510231018066;0.28685644268989563;0.1598518341779709;2.203542709350586;0.638762354850769
1;0.16028808057308197;1.3804672956466675;0.7430322766304016;0.1598326712846756;0.568579912185669;0.8759118914604187
2;0.16028815507888794;0.6936138272285461;0.8507686853408813;0.15982894599437714;0.4239402711391449;0.9043248891830444
3;0.16028790175914764;0.5604692101478577;0.8756157755851746;0.15982627868652344;0.37436366081237793;0.9144792556762695
4;0.16028809547424316;0.5017329454421997;0.8870985507965088;0.15982408821582794;0.3540721833705902;0.9191951751708984
5;0.16028770804405212;0.4676387310028076;0.8938745856285095;0.15982763469219208;0.3421107828617096;0.9220585823059082
6;0.16028809547424316;0.44492480158805847;0.8984276056289673;0.15981656312942505;0.33022159337997437;0.9245516657829285
7;0.16028793156147003;0.428520143032074;0.9017645716667175;0.15982474386692047;0.3213169574737549;0.9262064695358276
8;0.1602880209684372;0.41598615050315857;0.9043642282485962;0.15982456505298615;0.31787294149398804;0.9274752736091614
9;0.16028793156147003;0.4061095714569092;0.9064618349075317;0.15980879962444305;0.31481802463531494;0.9281421303749084
10;0.160288006067276;0.39846307039260864;0.9080527424812317;0.1598310023546219;0.30828556418418884;0.9294211268424988
11;0.16028808057308197;0.3918592929840088;0.9094400405883789;0.15984059870243073;0.3062611520290375;0.9300360083580017
12;0.1602882593870163;0.38616102933883667;0.9106606245040894;0.15982724726200104;0.3052593767642975;0.9304134249687195
13;0.16028791666030884;0.3817083537578583;0.9116278886795044;0.15981091558933258;0.30257999897003174;0.9309490323066711
14;0.16028818488121033;0.3773835301399231;0.9125242233276367;0.15984566509723663;0.29998618364334106;0.931405782699585
15;0.160288006067276;0.3735845685005188;0.9133467078208923;0.15982970595359802;0.2988431453704834;0.9319823384284973
16;0.160288006067276;0.3705306649208069;0.9140229225158691;0.1598237305879593;0.29809609055519104;0.9321660995483398
17;0.16028796136379242;0.36779943108558655;0.9145967364311218;0.15983708202838898;0.29673823714256287;0.9325683116912842
18;0.16028794646263123;0.36475038528442383;0.9152340292930603;0.15982630848884583;0.29356881976127625;0.9330869913101196
19;0.160288006067276;0.36265334486961365;0.9157459735870361;0.15982183814048767;0.2938578724861145;0.9331368207931519
